ticker,name,flag,region,zscore,ratio,date,alpha,winrate
EWH,홍콩,🇭🇰,아시아,-2.22,0.0283,2026-07-08,4.1,59.0
FXI,중국,🇨🇳,아시아,-2.18,0.0449,2026-07-08,-0.8,53.0
EPI,인도,🇮🇳,아시아,-1.82,0.0565,2026-07-08,-3.0,38.0
EWQ,프랑스,🇫🇷,유럽,-1.78,0.0603,2026-07-08,-2.0,38.0
EWG,독일,🇩🇪,유럽,-1.73,0.0554,2026-07-08,-1.2,41.0
EWD,스웨덴,🇸🇪,유럽,-1.38,0.0669,2026-07-08,0.4,44.0
EWA,호주,🇦🇺,아시아,-1.24,0.0377,2026-07-08,-0.4,46.0
EZA,남아공,🇿🇦,기타,-1.07,0.0841,2026-07-08,-4.3,26.0
EWU,영국,🇬🇧,유럽,-0.55,0.0624,2026-07-08,-1.4,38.0
EWZ,브라질,🇧🇷,아메리카,-0.4,0.0462,2026-07-08,3.3,52.0
EWL,스위스,🇨🇭,유럽,-0.37,0.0843,2026-07-08,0.1,48.0
EWW,멕시코,🇲🇽,아메리카,-0.28,0.1002,2026-07-08,-7.1,30.0
EWC,캐나다,🇨🇦,아메리카,-0.09,0.0778,2026-07-08,-2.5,33.0
EWJ,일본,🇯🇵,아시아,0.42,0.1241,2026-07-08,0.9,40.0
THD,태국,🇹🇭,아시아,0.59,0.0952,2026-07-08,-5.3,31.0
EWP,스페인,🇪🇸,유럽,0.73,0.0789,2026-07-08,-0.9,35.0
EWS,싱가포르,🇸🇬,아시아,0.75,0.0416,2026-07-08,0.7,40.0
EWI,이탈리아,🇮🇹,유럽,1.25,0.0807,2026-07-08,0.4,46.0
EWN,네덜란드,🇳🇱,유럽,1.25,0.0908,2026-07-08,-0.5,55.0
EWY,한국,🇰🇷,아시아,1.39,0.2451,2026-07-08,0.3,38.0
EWT,대만,🇹🇼,아시아,2.02,0.1394,2026-07-08,4.6,55.0
